Player,Pos,simplified_PER
Anthony Davis,F,7.879999999999998
Spencer Dinwiddie,G,0.8000000000000002
Rui Hachimura,F,1.32
Jaxson Hayes,F,0.5999999999999999
LeBron James,F,6.640000000000001
Taurean Prince,F,1.48
Austin Reaves,G,3.6800000000000006
D'Angelo Russell,G,2.2399999999999998
Gabe Vincent,G,0.32
